session,treatment,period,id,shock,prob1,prob2,cost1,cost2,endowment,minProb1,maxCost2
2022-09-06-140328,1,1,1,0,0.5,0.6291208791208791,2.5,3.1456043956043955,20,0.5,5
2022-09-06-140328,1,2,1,0,0.7280219780219781,0.510989010989011,3.6401098901098905,2.5549450549450547,20,0.5,5
2022-09-06-140328,1,3,1,0,0.5,0.7472527472527473,2.5,3.7362637362637363,20,0.5,5
2022-09-06-140328,1,4,1,0,0.5,0.7032967032967032,2.5,3.5164835164835164,20,0.5,5
2022-09-06-140328,1,5,1,0,0.706043956043956,0.6813186813186813,3.53021978021978,3.406593406593407,20,0.5,5
2022-09-06-140328,1,6,1,0,0.6538461538461539,0.4478021978021978,3.269230769230769,2.239010989010989,20,0.5,5
2022-09-06-140328,1,7,1,0,0.5,0.8049450549450549,2.5,4.024725274725275,20,0.5,5
2022-09-06-140328,1,8,1,0,0.5,0.7582417582417583,2.5,3.7912087912087915,20,0.5,5
2022-09-06-140328,1,9,1,0,0.5,0.706043956043956,2.5,3.53021978021978,20,0.5,5
2022-09-06-140328,1,10,1,0,0.5054945054945055,0.5,2.5274725274725274,2.5,20,0.5,5
2022-09-06-140328,1,11,1,0,0.5027472527472527,0,2.5137362637362637,0,20,0.5,5
2022-09-06-140328,1,12,1,0,0.5,0.5,2.5,2.5,20,0.5,5
2022-09-06-140328,1,13,1,0,0.5054945054945055,0.5,2.5274725274725274,2.5,20,0.5,5
2022-09-06-140328,1,14,1,0,0.5,0.49725274725274726,2.5,2.4862637362637363,20,0.5,5
2022-09-06-140328,1,15,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-140328,1,16,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-140328,1,17,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-140328,1,18,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-140328,1,19,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-140328,1,20,1,0,0.5,0,2.5,0,20,0.5,5
